,status,prepros_text
67,0,sensation tension 've noticed face expressing emotion n't noticed unusual sensation tension express emotion
68,0,"sensation tension 've noticed face expressing emotion `` tell , n't abnormal sensation tension expressing emotion"
69,0,"sensation tension 've noticed face expressing emotion 've paid attention , n't felt atypical sensation tension expressing emotion ."
70,0,sensation tension 've noticed face expressing emotion n't odd sensation tension 've noticed emotional expression .
71,0,"sensation tension 've noticed face expressing emotion `` 've attentive , n't felt abnormal sensation tension showing emotion"
72,0,"'re experiencing different emotion , feel like facial expression accurately convey Yes , believe facial expression match emotion time"
73,0,"'re experiencing different emotion , feel like facial expression accurately convey Yes , 've noticed facial expression consistent emotion time"
74,0,"'re experiencing different emotion , feel like facial expression accurately convey Absolutely , believe facial expression accurately reflect emotion case ."
75,0,"'re experiencing different emotion , feel like facial expression accurately convey Yes , tend display facial expression match emotion majority time"
76,0,"'re experiencing different emotion , feel like facial expression accurately convey 'm quite certain facial expression good representation emotion"
77,1,"'re experiencing different emotion , feel like facial expression accurately convey , face feel like mask doe n't reflect really feel"
78,1,"'re experiencing different emotion , feel like facial expression accurately convey really , facial expression feel like mask doe n't show actual emotion"
79,1,"'re experiencing different emotion , feel like facial expression accurately convey 've noticed face sometimes come across mask doe n't reveal inner feeling"
80,1,"'re experiencing different emotion , feel like facial expression accurately convey , face sometimes seems like mask doe n't accurately convey true emotion"
81,1,"'re experiencing different emotion , feel like facial expression accurately convey , facial expression give impression face mask , reflecting real emotion"
82,1,friend family mentioned anything facial expression look talk 've mentioned look distant sad
83,1,friend family mentioned anything facial expression look talk 've received feedback presence often seems distant reflects sadness .
84,1,"friend family mentioned anything facial expression look talk According 've heard , tend give impression distant sad"
85,1,friend family mentioned anything facial expression look talk Feedback 've received suggests come across distant sense sadness
86,1,friend family mentioned anything facial expression look talk Others pointed demeanor perceived distant imbued sadness
87,0,friend family mentioned anything facial expression look talk often comment expression show 'm feeling .
88,0,friend family mentioned anything facial expression look talk 's common observation expression accurately display emotion .
89,0,friend family mentioned anything facial expression look talk 've noticed frequently observe expression convey emotion .
90,0,friend family mentioned anything facial expression look talk 's pointed expression often give insight emotion .
91,0,friend family mentioned anything facial expression look talk frequently note expression window emotional state
92,0,"agree observation , perceive expression differently Yes , think observation accurate"
93,0,"agree observation , perceive expression differently Definitely , find observation quite accurate regarding emotion"
94,0,"agree observation , perceive expression differently Yes , 've noticed observation expression usually point ."
95,0,"agree observation , perceive expression differently `` 've noticed observation expression tend accurate ."
96,0,"agree observation , perceive expression differently Yes , agree observation ; seem understand emotion well . ''"
97,1,"agree observation , perceive expression differently agree . 's hard hide feel ."
98,1,"agree observation , perceive expression differently share sentiment . Concealing emotion quite challenging ."
99,1,"agree observation , perceive expression differently feel similarly . 's easy keep emotion wrap ."
100,1,"agree observation , perceive expression differently relate . 's challenging disguise genuine emotion"
101,1,"agree observation , perceive expression differently 'm page . 's easy hide emotion"
102,1,"look old photo , notice change facial expression compared used look happier photo . , 's like expression flat"
103,1,"look old photo , notice change facial expression compared `` 've realized expression photo used convey happiness . Nowadays , seem bit flat"
104,1,"look old photo , notice change facial expression compared `` 's interesting expression photo used livelier . day , come across flat"
105,1,"look old photo , notice change facial expression compared 's noticeable change previous photo , expression looked happier . , 're flat"
106,1,"look old photo , notice change facial expression compared 've observed photo used show happiness , whereas expression seem flatter ."
107,0,"look old photo , notice change facial expression compared think expression photo reflect emotion time"
108,0,"look old photo , notice change facial expression compared believe expression photo accurately capture emotion moment ."
109,0,"look old photo , notice change facial expression compared 'm opinion expression photo true reflection emotion time ."
110,0,"look old photo , notice change facial expression compared perspective , expression photo accurately convey emotion experienced ."
111,0,"look old photo , notice change facial expression compared feel expression photo accurately depict emotion photo taken"
112,0,think facial expression photo reflect mood time think 're snapshot felt moment
113,0,think facial expression photo reflect mood time believe 're visual representation emotion particular moment .
114,0,"think facial expression photo reflect mood time , 're visual record emotion experienced moment"
115,0,"think facial expression photo reflect mood time , 're like glimpse feeling specific point time"
116,0,think facial expression photo reflect mood time see window emotion time photo wa taken
117,1,"think facial expression photo reflect mood time older photo , see genuine smile . , 's hard find"
118,1,"think facial expression photo reflect mood time older photo , identify genuine smile . 's bit harder find natural expression nowadays"
119,1,"think facial expression photo reflect mood time Older photo seem capture real smile . Presently , 's struggle find authentic expression"
120,1,think facial expression photo reflect mood time 's noticeable difference older photo genuine smile . 's easy come across
121,1,"think facial expression photo reflect mood timeIn older photo , see real smile . day , finding genuine expression difficult"
122,1,"think change facial expression affect people interact understand emotion Yes , feel like people might avoid look"
123,0,think change facial expression affect people interact understand emotion Definitely . think expression help people understand better
124,1,"time feel like facial expression lead misunderstanding Yes , think people misinterpret lack expression disinterest"
125,0,"time feel like facial expression lead misunderstanding often , suppose misunderstanding happen"
126,0,"think change facial expression affect people interact understand emotion Yes , think expression help convey emotion make interaction meaningful"
127,1,think change facial expression affect people interact understand emotion believe lack expression make people uncomfortable around . probably think 'm interested talking
128,0,"time feel like facial expression lead misunderstanding really . think expression align 'm feeling , misunderstanding rare"
129,1,time feel like facial expression lead misunderstanding Definitely . time people thought wa angry wa n't . 's like face betrays feel
